"City","JanTemp","Lat","Region"
"Denver, CO",15,40.7,"US"
"New Haven, CT",22,41.7,"US"
"Wilmington, DE",26,40.5,"US"
"Boise, ID",22,43.7,"US"
"Chicago, IL",19,42.3,"US"
"Des Moines, IA",11,41.8,"US"
"Portland, ME",12,44.2,"US"
"Boston, MA",23,42.7,"US"
"Detroit, MI",21,43.1,"US"
"Minneapolis, MN",2,45.9,"US"
"Helena, MT",8,47.1,"US"
"Omaha, NE",13,41.9,"US"
"Concord, NH",11,43.5,"US"
"Albany, NY",14,42.6,"US"
"New York, NY",27,40.8,"US"
"Bismarck, ND",0,47.1,"US"
"Cleveland, OH",21,42.3,"US"
"Portland, OR",33,45.6,"US"
"Harrisburg, PA",24,40.9,"US"
"Philadelphia, PA",24,40.9,"US"
"Salt Lake City, UT",18,41.1,"US"
"Burlington, VT",7,45,"US"
"Seattle, WA",33,48.1,"US"
"Spokane, WA",19,48.1,"US"
"Madison, WI",9,43.4,"US"
"Milwaukee, WI",13,43.3,"US"
"Cheyenne, WY",14,41.2,"US"
"Amsterdam, Netherlands",33,52.3,"Europe"
"Andorra la Vella, Andorra",33,42.5,"Europe"
"Barcelona, Spain",40,41.4,"Europe"
"Belgrade, Serbia",30,44.8,"Europe"
"Berlin, Germany",29,52.5,"Europe"
"Birmingham, United Kingdom",35,52.4,"Europe"
"Bratislava, Slovakia",26,48.1,"Europe"
"Brussels, Belgium",33,50.9,"Europe"
"Bucharest, Romania",22,44.4,"Europe"
"Budapest, Hungary",27,47.5,"Europe"
"Chisinau, Moldova",21,47,"Europe"
"Cologne, Germany",31,50.9,"Europe"
"Copenhagen, Denmark",29,55.7,"Europe"
"Dublin, Ireland",36,53.3,"Europe"
"Glasgow, United Kingdom",34,55.9,"Europe"
"Hamburg, Germany",29,53.6,"Europe"
"Helsinki, Finland",17,60.2,"Europe"
"İstanbul, Turkey",39,41,"Europe"
"Kiev, Ukraine",17,50.5,"Europe"
"Leeds, United Kingdom",33,53.8,"Europe"
"Lille, France",34,50.6,"Europe"
"Ljubljana, Slovenia",27,46,"Europe"
"London, United Kingdom",38,51.5,"Europe"
"Luxembourg, Luxembourg",28,49.6,"Europe"
"Lyon, France",33,45.7,"Europe"
"Madrid, Spain",37,40.4,"Europe"
"Manchester, United Kingdom",35,53.5,"Europe"
"Marseille, France",37,43.3,"Europe"
"Milan, Italy",30,45.5,"Europe"
"Minsk, Belarus",14,53.9,"Europe"
"Monaco, Monaco",42,43.7,"Europe"
"Munich, Germany",25,48.1,"Europe"
"Nice, France",42,43.7,"Europe"
"Oslo, Norway",20,59.9,"Europe"
"Paris, France",37,48.9,"Europe"
"Podgorica, Montenegro",35,42.4,"Europe"
"Prague, Czech Republic",22,50.1,"Europe"
"Pristina, Kosovo",23,42.7,"Europe"
"Reykjavík, Iceland",27,64.1,"Europe"
"Riga, Latvia",19,56.9,"Europe"
"Rome, Italy",36,41.9,"Europe"
"Rotterdam, Netherlands",33,51.9,"Europe"
"San Marino, San Marino",33,43.9,"Europe"
"Sarajevo, Bosnia & Herzegovina",24,43.8,"Europe"
"Skopje, Macedonia",27,42,"Europe"
"Sofia, Bulgaria",23,42.7,"Europe"
"Stockholm, Sweden",23,59.3,"Europe"
"Tallinn, Estonia",20,59.4,"Europe"
"Tirana, Albania",36,41.3,"Europe"
"Turin, Italy",28,45.1,"Europe"
"Vaduz, Liechtenstein",27,47.1,"Europe"
"Vienna, Austria",29,48.2,"Europe"
"Vilnius, Lithuania",16,54.7,"Europe"
"Warsaw, Poland",21,52.2,"Europe"
"Zagreb, Croatia",27,45.8,"Europe"
"Zurich, Switzerland",26,47.4,"Europe"
